"State","overall","rateBlack","rateLatino","rateAsian","rateNativeAmerican","rateWhite"
"Hawaii","81.5000","79.7000","87.3000","83.5000","70.2000","81.2000"
"California","81","75.1000","83.2000","86.3000","80.2000","79.8000"
"Minnesota","80.8000","82.5000","76.8000","82","","80.4000"
"New York","80.7000","77.4000","83.5000","88.6000","","80.5000"
"Connecticut","80.6000","77.8000","83.1000","89.1000","","81"
"New Jersey","80.4000","75.5000","84.7000","89.4000","","80.3000"
"Washington","80","77.5000","85.4000","85.4000","73.8000","79.7000"
"Colorado","80","76.7000","79.4000","87.4000","","80.2000"
"Vermont","79.9000","84.4000","","","","80.4000"
"Massachusetts","79.9000","78.8000","87.1000","89.1000","","80.4000"
"Wisconsin","79.6000","74","86","86.4000","72.5000","80.3000"
"Utah","79.4000","74.3000","82.1000","84.6000","","80.1000"
"Iowa","79.4000","75.3000","","","","79.8000"
"Rhode Island","79.3000","71.6000","","","","79.7000"
"Oregon","79.3000","77.2000","85.4000","86.2000","","79.2000"
"Nebraska","79.2000","73.9000","85.5000","","","80"
"Florida","79.2000","75.8000","83.1000","88.9000","","79.1000"
"Arizona","79.2000","76.5000","80.8000","86.7000","72.7000","79.8000"
"Virginia","79.1000","75.3000","88.3000","87.2000","","79.4000"
"New Hampshire","79.1000","86.8000","","","","80.1000"
"Idaho","79.1000","83.3000","83.4000","","","79.4000"
"Illinois","79","73.7000","85.3000","87.9000","","79.3000"
"Maryland","78.8000","75.5000","","88.2000","","79.4000"
"North Dakota","78.6000","84.2000","","","","80.2000"
"Texas","78.5000","74.4000","80.7000","88.1000","","78"
"South Dakota","78.2000","81.7000","","","68.2000","80.4000"
"Kansas","78.2000","73.6000","83.5000","","","78.8000"
"Delaware","78.2000","75.4000","","","","78.6000"
"Maine","78.1000","81.8000","","","","79.1000"
"Wyoming","78","83.5000","","","","78.4000"
"Pennsylvania","78","73.4000","85.3000","","89","78.9000"
"Nevada","78","75.9000","84.7000","88.1000","","76.7000"
"Alaska","77.9000","79.3000","","","70.5000","79.4000"
"North Carolina","77.8000","74.7000","","88.9000","76.6000","78.3000"
"New Mexico","77.6000","75.2000","78.8000","","74.8000","79"
"Michigan","77.6000","73.4000","80","88.7000","75.3000","79"
"Missouri","77.1000","74.2000","","","","77.7000"
"Georgia","77.1000","74.7000","","88","","77.6000"
"Montana","77","83.4000","","","69.2000","79.1000"
"Indiana","77","73.8000","85.9000","88.1000","","77.7000"
"Ohio","76.6000","73.9000","85.3000","87","","78.1000"
"South Carolina","76.2000","74","","","","77.8000"
"Tennessee","76.1000","72.9000","","84.2000","","76.7000"
"Oklahoma","75.5000","72.8000","85","","73.8000","76"
"Louisiana","75.5000","72.4000","","85.6000","","76.7000"
"Arkansas","75.4000","72.2000","","","","76.3000"
"Kentucky","75.1000","73.5000","","","","76"
"West Virginia","74.9000","72.8000","","","","75.4000"
"Alabama","74.9000","72.9000","","76","","76"
"Mississippi","74.6000","72.4000","","","","76.1000"
